SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,09-Jul-2026,103.26,103.26,104.03,98.83,103.5,103.5,99.8,20255,20.22,20,19244,95.01
20MICRONS,EQ,09-Jul-2026,192.33,192.78,198.0,192.37,194.8,193.94,195.14,120012,234.19,2599,47395,39.49
21STCENMGM,EQ,09-Jul-2026,31.21,31.83,31.83,30.6,31.11,31.35,31.4,690,0.22,46,668,96.81
360ONE,EQ,09-Jul-2026,1091.7,1090.8,1106.8,1086.6,1100.8,1100.2,1100.03,1022506,11247.85,38829,696095,68.08
3BBLACKBIO,EQ,09-Jul-2026,1166.2,1183.7,1209.0,1155.0,1179.0,1167.7,1184.54,4778,56.6,676,2790,58.39
3IINFOLTD,EQ,09-Jul-2026,18.08,18.49,18.5,18.1,18.18,18.24,18.26,479311,87.52,1591,291382,60.79
3MINDIA,EQ,09-Jul-2026,34255.0,34300.0,35470.0,34300.0,34700.0,34745.0,34948.53,6446,2252.78,3158,1970,30.56
3PLAND,EQ,09-Jul-2026,32.3,32.9,33.5,31.5,33.0,32.63,31.69,7028,2.23,63,6923,98.51
5PAISA,EQ,09-Jul-2026,366.4,363.65,380.85,363.25,378.0,378.1,376.66,39439,148.55,1888,23654,59.98
601GS2030,GS,09-Jul-2026,99.45,99.45,99.45,99.45,99.45,99.45,99.45,200,0.2,2,200,100.00
603GS2029,GS,09-Jul-2026,101.7,101.7,101.7,101.7,101.7,101.7,101.7,400,0.41,1,400,100.00
63MOONS,EQ,09-Jul-2026,666.85,674.8,681.0,663.2,671.3,672.65,673.84,89043,600.01,4547,34165,38.37
664GS2035,GS,09-Jul-2026,97.46,97.69,97.69,97.69,97.69,97.69,97.69,1,0.0,1,1,100.00
667GS2050,GS,09-Jul-2026,94.3,91.41,93.0,91.41,93.0,93.0,91.48,3147,2.88,3,3147,100.00
668GS2040,GS,09-Jul-2026,97.1,97.95,98.0,97.95,97.95,97.98,97.95,3460,3.39,9,3460,100.00
676GS2061,GS,09-Jul-2026,93.0,94.0,94.0,92.87,93.5,93.5,93.15,70319,65.5,31,60311,85.77
68GS2060,GS,09-Jul-2026,93.9,91.11,92.0,91.11,92.0,92.0,91.56,644,0.59,2,322,50.00
690GS2065,GS,09-Jul-2026,94.35,94.0,94.49,93.56,94.46,94.4,94.36,7285,6.87,15,7285,100.00
694GS2036,GS,09-Jul-2026,102.7,102.7,103.0,102.7,103.0,103.0,102.85,200,0.21,2,200,100.00
695GS2061,GS,09-Jul-2026,95.8,93.05,95.0,93.05,95.0,93.09,93.11,1127,1.05,6,1092,96.89
